Activity ID,Elapsed Time,Distance,Relative Effort,Commute,Athlete Weight,Bike Weight,Elapsed Time.1,Moving Time,Distance.1,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort.1,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,translation missing: en-GB.lib.export.portability_exporter.activities.horton_values.type,translation missing: en-GB.lib.export.portability_exporter.activities.horton_values.start_time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute.1,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,translation missing: en-GB.lib.export.portability_exporter.activities.horton_values.jump_count,translation missing: en-GB.lib.export.portability_exporter.activities.horton_values.total_grit,translation missing: en-GB.lib.export.portability_exporter.activities.horton_values.avg_flow,translation missing: en-GB.lib.export.portability_exporter.activities.horton_values.flagged
3303739575.0,1299.0,5.14,,False,0.0,,1299.0,1299.0,5141.2001953125,8.899999618530273,3.9578137397766113,4.383333206176759,4.983329772949219,2.400000095367432,6.800000190734862,3.0,-0.0116704273968935,,,,,,,,,0.0,,,,,,,,,6.0,,,,,0.0,34.0,0.0,,1.0,5145.60009765625,,,,,,,,,,,,,,,,,,,,,,,,,,
3310520594.0,1275.0,5.01,,False,0.0,,1275.0,1275.0,5017.60009765625,8.300000190734862,3.9353725910186768,4.346153736114502,4.746150016784668,2.400000095367432,6.800000190734862,5.599999904632568,-0.00797193869948387,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,1.0,5022.10009765625,,,,,,,,,,,,,,,,,,,,,,,,,,
3337301524.0,1151.0,5.04,,False,0.0,,1151.0,1147.0,5039.7001953125,8.800000190734863,4.393809795379639,4.386666774749757,4.386670112609863,2.400000095367432,6.9000000953674325,2.299999952316284,0.0,,,,,,,,,0.0,,,,,,,,,8.0,,,,,0.0,49.0,0.0,,1.0,5043.10009765625,,,,,,,,,,,,,,,,,,,,,,,,,,
3349805903.0,1229.0,5.01,,False,0.0,,1229.0,1226.0,5011.2998046875,7.699999809265138,4.0875205993652335,4.353333473205566,4.7533302307128915,2.400000095367432,6.800000190734862,3.400000095367432,-0.007981960661709309,,,,,,,,,,,,,,,,,,8.0,,,,,0.0,52.0,0.0,,1.0,5015.7001953125,,,,,,,,,,,,,,,,,,,,,,,,,,
3386477744.0,2479.0,8.18,,False,0.0,,2479.0,2479.0,8179.5,6.5999999046325675,3.299515962600708,4.382352828979491,5.282350063323975,2.400000095367432,6.800000190734862,3.7999999523162837,-0.01100311800837517,,,,,,,,,,,,,,,,,,4.0,,,,,0.0,27.0,0.0,,1.0,8184.2001953125,,,,,,,,,,,,,,,,,,,,,,,,,,
3435355653.0,1440.0,4.77,40.0,False,0.0,,1440.0,1432.0,4771.10009765625,6.0999999046325675,3.3317737579345703,4.239999771118163,166.0,2.5,6.800000190734862,4.400000095367432,-0.014671669341623785,,,120.0,77.87937927246094,166.0,155.0,,,257.0,,,40.0,,,,,,5.0,,,,,0.0,25.0,0.0,,1.0,4775.10009765625,,,,,,,,,,,,,,,,,,,,,,,,,,
3481138741.0,749.0,2.06,21.0,False,0.0,,749.0,749.0,2065.0,6.0,2.757009267807007,,136.0,5.400000095367432,6.5,1.2999999523162842,0.004842615220695734,,,76.0,73.29933166503906,174.0,156.0,,,139.0,,,21.0,,,,,,3.0,,,,,0.0,6.0,0.0,,1.0,2066.10009765625,,,,,,,,,,,,,,,,,,,,,,,,,,
3504019037.0,3017.0,5.295,38.0,False,,,3017.0,2654.0,5299.400146484375,5.199999809265137,2.000197410583496,12.676910400390625,68.39190006256104,14.899999618530273,25.899999618530273,4.0000001192092896,-0.012526221864391117,,,78.0,69.16181182861328,,143.50523376464844,,,408.0,,,38.0,,,,,,,,,,,,,0.0,,1.0,5313.85009765625,,,,,,,,,,,,,,,,,,,,,,,,,,
3511346431.0,1004.0,3.11,40.0,False,,,1004.0,1004.0,3109.60009765625,4.599999904632568,3.0972111225128174,0.0,104.0,2.299999952316284,6.5,2.0999999046325684,-0.05466940999031067,,,80.0,71.68668365478516,,164.09959411621094,,,194.0,,,40.0,,,,,,,,,,,,,0.0,,1.0,3110.10009765625,,,,,,,,,,,,,,,,,,,,,,,,,,
3525090544.0,1025.0,1.56,2.0,False,,,1025.0,743.0,1560.5999755859375,3.2999999523162837,2.1004037857055664,0.0,125.0,5.199999809265137,6.800000190734862,1.8999999761581419,0.025631166994571686,,,74.0,68.66719055175781,,117.31114196777344,,,120.0,,,2.0,,,,,,,,,,,0.0,,0.0,,1.0,1562.699951171875,,,,,,,,,,,,,,,,,,,,,,,,,,
3530076034.0,195.0,0.72,1.0,False,,,195.0,195.0,728.5999755859375,4.699999809265137,3.7364101409912114,0.0,28.0,4.400000095367432,6.5999999046325675,1.100000023841858,0.3019489347934723,,,101.0,78.4923095703125,,130.08717346191406,,,29.0,,,1.0,,,,,,,,,,,,,0.0,,1.0,732.2000122070312,,,,,,,,,,,,,,,,,,,,,,,,,,
3545696620.0,203.0,0.72,2.0,False,,,203.0,199.0,724.2999877929688,4.400000095367432,3.6396985054016113,0.0,62.0,4.400000095367432,6.5,1.399999976158142,0.2899351119995117,,,79.0,76.53030395507812,,136.72361755371094,,,32.0,,,2.0,,,,,,,,,,,0.0,,0.0,,1.0,727.5999755859375,,,,,,,,,,,,,,,,,,,,,,,,,,
3594546230.0,2485.0,5.02,18.0,False,,,2485.0,2459.0,5022.2001953125,4.900000095367432,2.042374849319458,4.300000190734863,184.0,2.299999952316284,6.800000190734862,2.299999952316284,-0.003982318565249443,,,79.0,65.98183441162111,,132.63003540039062,,,330.0,,,18.0,,,,,,1.0,,,,,0.0,5.0,0.0,,1.0,5026.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3619898571.0,1398.0,5.02,49.0,False,,,1398.0,1398.0,5022.2001953125,4.900000095367432,3.5924177169799805,4.2800002098083505,90.0,2.299999952316284,6.800000190734862,1.7000000476837158,-0.003982318565249443,,,87.0,76.54519653320312,,161.2324676513672,,,278.0,,,49.0,,,,,,8.0,,,,,0.0,60.0,0.0,,1.0,5025.89990234375,,,,,,,,,,,,,,,,,,,,,,,,,,
3670517415.0,1447.0,5.01,62.0,False,,,1447.0,1443.0,5010.7998046875,7.199999809265138,3.4724879264831543,4.313333511352538,212.0,2.299999952316284,6.800000190734862,1.7999999523162842,-0.003991378471255302,,,108.0,75.1456298828125,,167.5072784423828,,,300.0,,,62.0,,,,,,,,,,,,,0.0,,1.0,5014.2998046875,,,,,,,,,,,,,,,,,,,,,,,,,,
3677939884.0,3048.0,10.01,117.0,False,,,3048.0,3039.0,10010.7998046875,8.100000381469728,3.29410982131958,8.453332901000978,393.0,2.0999999046325684,9.300000190734863,7.0,-0.03096655569970608,,,91.0,76.67105865478516,,165.30174255371094,,,625.0,,,117.0,,,,,,7.0,,,,,0.0,97.0,0.0,,1.0,10023.2998046875,,,,,,,,,,,,,,,,,,,,,,,,,,
3695203033.0,2468.0,8.1,119.0,False,,,2468.0,2457.0,8101.7001953125,7.199999809265138,3.2973952293396,4.146666526794434,257.0,2.299999952316284,6.699999809265138,2.400000095367432,0.0037029264494776726,,,89.0,73.91143035888672,,169.71812438964844,,,525.0,,,119.0,,,,,,,,,,,,,0.0,,1.0,8109.2998046875,,,,,,,,,,,,,,,,,,,,,,,,,,
3738459185.0,1427.0,4.53,44.0,False,,,1427.0,1418.0,4531.39990234375,5.5,3.1956276893615723,14.670714378356935,147.0,1.0,12.0,4.800000190734863,0.114754818379879,,,86.0,76.63996887207031,,157.68763732910156,,,280.0,,,44.0,,,,,,,,,,,,,0.0,,1.0,4555.2001953125,,,,,,,,,,,,,,,,,,,,,,,,,,
3893137831.0,1047.5,2.1100000000000003,26.5,False,,,1047.5,728.5,2116.550048828125,3.450000047683716,2.908535838127136,4.4100000858306885,35.5,4.450000047683716,10.699999809265137,6.449999809265138,-0.0013110190629959176,,,79.5,74.20076751708984,,161.8381805419922,,,150.0,,,26.5,,,,,,,,,,,,,0.0,,1.0,2123.60009765625,1596889856.0,2.0,32.1550006866455,32.304999351501465,16.405000686645508,0.39000000059604645,1018.7999877929688,3.0800000429153442,3.819999933242798,51.0,0.0,1596861440.0,1596915456.0,0.6600000262260437,,,0.0,,0.7699999809265137,16093.0,4.5,301.8999938964844,,,,
4219838471.0,1523.0,5.03,58.0,False,,,1523.0,1523.0,5035.10009765625,7.0,3.3060407638549805,4.29714298248291,136.0,2.299999952316284,6.800000190734862,1.8999999761581419,-0.023832693696022037,,,81.0,75.00262451171875,,163.56468200683594,,,341.0,,,58.0,,,,,,,,,,,,,0.0,,1.0,5037.2001953125,1603195136.0,3.0,17.469999313354492,17.469999313354492,11.869999885559082,0.699999988079071,1002.4000244140624,6.96999979019165,12.119999885559082,207.0,0.0,1603175680.0,1603213056.0,0.15000000596046448,,,0.0,,0.9300000071525574,16093.0,2.0,289.20001220703125,,,,
4382887951.0,1306.0,4.12,51.0,False,,,1306.0,1306.0,4125.7998046875,3.7000000476837163,3.159111738204956,0.0,,,,0.0,0.0,,,81.0,76.03445434570312,,164.40505981445312,,,298.0,,,51.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4605214746.0,1655.0,5.08,66.0,False,,,1655.0,1639.0,5088.60009765625,7.0,3.1046979427337646,4.610000133514403,177.0,2.400000095367432,7.0999999046325675,1.7999999523162842,-0.00982588529586792,,,79.0,74.99632263183594,,164.285888671875,,,386.0,,,66.0,,,,,,,,,,,,,0.0,,1.0,5090.39990234375,1610387968.0,3.0,7.0999999046325675,3.4300000667572017,4.739999771118164,0.8500000238418579,1014.5999755859376,6.3400001525878915,10.43000030517578,251.0,0.0,1610352128.0,1610381696.0,0.9499999880790709,,,0.0,,0.9399999976158142,16093.0,0.0,280.70001220703125,,,,
4616426242.0,666.0,2.18,26.0,False,,,666.0,666.0,2181.5,5.300000190734863,3.2755255699157715,0.0,74.0,5.300000190734863,6.699999809265138,0.8000000119209291,-0.06417602300643921,,,80.0,76.0481948852539,,162.9081268310547,,,152.0,,,26.0,,,,,,,,,,,0.0,,0.0,,1.0,2179.60009765625,1610567936.0,3.0,7.9099998474121085,6.8499999046325675,6.710000038146973,0.9200000166893004,1017.4000244140624,1.8999999761581419,3.7000000476837163,264.0,0.0,1610524800.0,1610554624.0,0.019999999552965164,,,0.0,,0.9900000095367432,0.0,0.0,256.0,,,,
4680552209.0,1663.0,5.08,42.0,False,,,1663.0,1662.0,5087.60009765625,6.4000000953674325,3.061131238937378,6.690000057220459,170.0,1.6000000238418581,6.699999809265138,1.7000000476837158,-0.06486359238624573,,,79.0,74.54093170166016,,151.68765258789062,,,353.0,,,42.0,,,,,,,,,,,0.0,,0.0,,1.0,5086.10009765625,1611597568.0,1.0,2.7799999713897705,-0.6600000262260437,0.009999999776482582,0.8199999928474426,1013.0999755859376,3.670000076293945,9.640000343322754,276.0,0.0,1611560960.0,1611592704.0,0.4000000059604645,,,0.0,,0.2800000011920929,16093.0,0.0,381.8999938964844,,,,
4805673837.0,1524.0,5.02,91.0,False,,,1524.0,1524.0,5022.2998046875,5.5,3.295472383499145,4.579999923706055,139.0,2.400000095367432,7.0999999046325675,1.6000000238418581,-0.025884555652737614,,,88.0,77.1430435180664,,177.31101989746094,,,392.0,,,91.0,,,,,,,,,,,,,0.0,,1.0,5022.7001953125,1613635200.0,3.0,9.770000457763672,6.630000114440918,6.5999999046325675,0.8100000023841858,1000.4000244140624,7.059999942779541,15.119999885559082,166.0,0.0,1613632128.0,1613668864.0,0.2199999988079071,,,0.0,,0.9200000166893004,16093.0,0.0,435.1000061035156,,,,
